MUNIDESC,SALE_YEAR,annual_sale_count
7TH WARD  - MCKEESPORT,2023,16
7TH WARD  - MCKEESPORT,2024,21
7TH WARD  - MCKEESPORT,2025,9
7TH WARD - PITTSBURGH,2012,125
7TH WARD - PITTSBURGH,2013,101
7TH WARD - PITTSBURGH,2014,40
7TH WARD - PITTSBURGH,2015,48
7TH WARD - PITTSBURGH,2016,51
7TH WARD - PITTSBURGH,2017,58
7TH WARD - PITTSBURGH,2018,61
7TH WARD - PITTSBURGH,2019,34
7TH WARD - PITTSBURGH,2020,55
7TH WARD - PITTSBURGH,2021,92
7TH WARD - PITTSBURGH,2022,129
7TH WARD - PITTSBURGH,2023,110
7TH WARD - PITTSBURGH,2024,121
7TH WARD - PITTSBURGH,2025,38
8TH WARD  - MCKEESPORT,2012,32
8TH WARD  - MCKEESPORT,2013,14
8TH WARD  - MCKEESPORT,2014,1
8TH WARD  - MCKEESPORT,2015,8
8TH WARD  - MCKEESPORT,2016,7
8TH WARD  - MCKEESPORT,2017,12
8TH WARD  - MCKEESPORT,2018,14
8TH WARD  - MCKEESPORT,2019,12
8TH WARD  - MCKEESPORT,2020,15
8TH WARD  - MCKEESPORT,2021,14
8TH WARD  - MCKEESPORT,2022,23
8TH WARD  - MCKEESPORT,2023,24
8TH WARD  - MCKEESPORT,2024,13
8TH WARD  - MCKEESPORT,2025,14
8TH WARD - PITTSBURGH,2012,54
8TH WARD - PITTSBURGH,2013,32
8TH WARD - PITTSBURGH,2014,13
8TH WARD - PITTSBURGH,2015,24
8TH WARD - PITTSBURGH,2016,30
8TH WARD - PITTSBURGH,2017,16
8TH WARD - PITTSBURGH,2018,30
8TH WARD - PITTSBURGH,2019,14
8TH WARD - PITTSBURGH,2020,16
8TH WARD - PITTSBURGH,2021,22
8TH WARD - PITTSBURGH,2022,36
8TH WARD - PITTSBURGH,2023,37
8TH WARD - PITTSBURGH,2024,36
8TH WARD - PITTSBURGH,2025,15
9TH WARD  -  MCKEESPORT,2012,23
9TH WARD  -  MCKEESPORT,2013,8
9TH WARD  -  MCKEESPORT,2014,2
9TH WARD  -  MCKEESPORT,2015,4
9TH WARD  -  MCKEESPORT,2016,5
9TH WARD  -  MCKEESPORT,2017,5
9TH WARD  -  MCKEESPORT,2018,10
9TH WARD  -  MCKEESPORT,2019,7
9TH WARD  -  MCKEESPORT,2020,12
9TH WARD  -  MCKEESPORT,2021,18
9TH WARD  -  MCKEESPORT,2022,22
9TH WARD  -  MCKEESPORT,2023,18
9TH WARD  -  MCKEESPORT,2024,24
9TH WARD  -  MCKEESPORT,2025,8
9TH WARD - PITTSBURGH,2012,79
9TH WARD - PITTSBURGH,2013,37
9TH WARD - PITTSBURGH,2014,10
9TH WARD - PITTSBURGH,2015,15
9TH WARD - PITTSBURGH,2016,23
9TH WARD - PITTSBURGH,2017,18
9TH WARD - PITTSBURGH,2018,35
9TH WARD - PITTSBURGH,2019,32
9TH WARD - PITTSBURGH,2020,53
9TH WARD - PITTSBURGH,2021,34
9TH WARD - PITTSBURGH,2022,65
9TH WARD - PITTSBURGH,2023,64
9TH WARD - PITTSBURGH,2024,60
9TH WARD - PITTSBURGH,2025,26
ALEPPO,2012,19
ALEPPO,2013,26
ALEPPO,2014,5
ALEPPO,2015,4
ALEPPO,2016,9
ALEPPO,2017,16
ALEPPO,2018,12
ALEPPO,2019,7
ALEPPO,2020,20
ALEPPO,2021,13
ALEPPO,2022,16
ALEPPO,2023,10
ALEPPO,2024,13
ALEPPO,2025,7
ASPINWALL,2012,23
ASPINWALL,2013,26
ASPINWALL,2014,9
ASPINWALL,2015,14
ASPINWALL,2016,21
ASPINWALL,2017,20
ASPINWALL,2018,26
ASPINWALL,2019,10
ASPINWALL,2020,20
ASPINWALL,2021,14
ASPINWALL,2022,29
ASPINWALL,2023,20
ASPINWALL,2024,19
ASPINWALL,2025,9
AVALON,2012,34
AVALON,2013,24
AVALON,2014,6
AVALON,2015,11
AVALON,2016,32
AVALON,2017,29
AVALON,2018,41
AVALON,2019,24
AVALON,2020,36
AVALON,2021,27
AVALON,2022,49
AVALON,2023,44
AVALON,2024,41
AVALON,2025,17
BALDWIN BORO,2012,164
BALDWIN BORO,2013,153
BALDWIN BORO,2014,41
BALDWIN BORO,2015,61
BALDWIN BORO,2016,103
BALDWIN BORO,2017,90
BALDWIN BORO,2018,82
BALDWIN BORO,2019,75
BALDWIN BORO,2020,149
BALDWIN BORO,2021,152
BALDWIN BORO,2022,179
BALDWIN BORO,2023,168
BALDWIN BORO,2024,191
BALDWIN BORO,2025,70
BALDWIN TWP,2012,16
BALDWIN TWP,2013,13
BALDWIN TWP,2014,11
BALDWIN TWP,2015,12
BALDWIN TWP,2016,22
BALDWIN TWP,2017,10
BALDWIN TWP,2018,22
BALDWIN TWP,2019,11
BALDWIN TWP,2020,13
BALDWIN TWP,2021,18
BALDWIN TWP,2022,21
BALDWIN TWP,2023,18
BALDWIN TWP,2024,17
BALDWIN TWP,2025,10
BELL ACRES,2012,14
BELL ACRES,2013,12
BELL ACRES,2014,3
BELL ACRES,2015,7
BELL ACRES,2016,10
BELL ACRES,2017,9
BELL ACRES,2018,13
BELL ACRES,2019,10
BELL ACRES,2020,22
BELL ACRES,2021,8
BELL ACRES,2022,13
BELL ACRES,2023,11
BELL ACRES,2024,15
BELL ACRES,2025,4
BELLEVUE,2012,58
BELLEVUE,2013,34
BELLEVUE,2014,14
BELLEVUE,2015,27
BELLEVUE,2016,37
BELLEVUE,2017,32
BELLEVUE,2018,43
BELLEVUE,2019,26
BELLEVUE,2020,21
BELLEVUE,2021,33
BELLEVUE,2022,45
BELLEVUE,2023,67
BELLEVUE,2024,37
BELLEVUE,2025,11
BEN AVON,2012,20
BEN AVON,2013,22
BEN AVON,2014,6
BEN AVON,2015,9
BEN AVON,2016,8
BEN AVON,2017,7
BEN AVON,2018,16
BEN AVON,2019,13
BEN AVON,2020,25
BEN AVON,2021,15
BEN AVON,2022,9
BEN AVON,2023,20
BEN AVON,2024,16
BEN AVON,2025,4
BEN AVON HEIGHTS,2012,5
BEN AVON HEIGHTS,2013,6
BEN AVON HEIGHTS,2015,3
BEN AVON HEIGHTS,2016,3
BEN AVON HEIGHTS,2017,2
BEN AVON HEIGHTS,2018,2
BEN AVON HEIGHTS,2019,1
BEN AVON HEIGHTS,2020,4
BEN AVON HEIGHTS,2021,1
BEN AVON HEIGHTS,2022,1
BEN AVON HEIGHTS,2023,2
BEN AVON HEIGHTS,2024,1
BEN AVON HEIGHTS,2025,1
BETHEL PARK,2012,291
BETHEL PARK,2013,270
BETHEL PARK,2014,109
BETHEL PARK,2015,138
BETHEL PARK,2016,165
BETHEL PARK,2017,184
BETHEL PARK,2018,252
BETHEL PARK,2019,145
BETHEL PARK,2020,265
BETHEL PARK,2021,266
BETHEL PARK,2022,338
BETHEL PARK,2023,304
BETHEL PARK,2024,262
BETHEL PARK,2025,99
BLAWNOX,2012,12
BLAWNOX,2013,10
BLAWNOX,2014,7
BLAWNOX,2015,5
BLAWNOX,2016,9
BLAWNOX,2017,1
BLAWNOX,2018,9
BLAWNOX,2019,5
BLAWNOX,2020,9
BLAWNOX,2021,8
BLAWNOX,2022,9
BLAWNOX,2023,9
BLAWNOX,2024,12
BLAWNOX,2025,3
BRACKENRIDGE,2012,16
BRACKENRIDGE,2013,16
BRACKENRIDGE,2014,5
BRACKENRIDGE,2015,6
BRACKENRIDGE,2016,15
BRACKENRIDGE,2017,3
BRACKENRIDGE,2018,21
BRACKENRIDGE,2019,8
BRACKENRIDGE,2020,18
BRACKENRIDGE,2021,25
BRACKENRIDGE,2022,25
BRACKENRIDGE,2023,19
BRACKENRIDGE,2024,25
BRACKENRIDGE,2025,7
BRADDOCK,2012,6
BRADDOCK,2013,1
BRADDOCK,2017,1
BRADDOCK,2020,4
BRADDOCK,2021,4
BRADDOCK,2022,2
BRADDOCK,2023,3
BRADDOCK,2024,2
BRADDOCK,2025,1
BRADDOCK HILLS,2012,7
BRADDOCK HILLS,2013,11
BRADDOCK HILLS,2014,2
BRADDOCK HILLS,2015,5
BRADDOCK HILLS,2016,11
BRADDOCK HILLS,2017,12
BRADDOCK HILLS,2018,8
BRADDOCK HILLS,2019,6
BRADDOCK HILLS,2020,9
BRADDOCK HILLS,2021,11
BRADDOCK HILLS,2022,11
BRADDOCK HILLS,2023,9
BRADDOCK HILLS,2024,9
BRADDOCK HILLS,2025,3
BRADFORD WOODS,2012,17
BRADFORD WOODS,2013,17
BRADFORD WOODS,2014,2
BRADFORD WOODS,2015,4
BRADFORD WOODS,2016,10
BRADFORD WOODS,2017,6
BRADFORD WOODS,2018,12
BRADFORD WOODS,2019,6
BRADFORD WOODS,2020,13
BRADFORD WOODS,2021,15
BRADFORD WOODS,2022,24
BRADFORD WOODS,2023,11
BRADFORD WOODS,2024,5
BRADFORD WOODS,2025,3
BRENTWOOD,2012,73
BRENTWOOD,2013,70
BRENTWOOD,2014,26
BRENTWOOD,2015,29
BRENTWOOD,2016,62
BRENTWOOD,2017,64
BRENTWOOD,2018,70
BRENTWOOD,2019,36
BRENTWOOD,2020,84
BRENTWOOD,2021,91
BRENTWOOD,2022,105
BRENTWOOD,2023,91
BRENTWOOD,2024,100
BRENTWOOD,2025,37
BRIDGEVILLE,2012,41
BRIDGEVILLE,2013,40
BRIDGEVILLE,2014,14
BRIDGEVILLE,2015,16
BRIDGEVILLE,2016,31
BRIDGEVILLE,2017,16
BRIDGEVILLE,2018,32
BRIDGEVILLE,2019,25
BRIDGEVILLE,2020,36
BRIDGEVILLE,2021,39
BRIDGEVILLE,2022,49
BRIDGEVILLE,2023,45
BRIDGEVILLE,2024,41
BRIDGEVILLE,2025,15
CARNEGIE,2012,75
CARNEGIE,2013,58
CARNEGIE,2014,22
CARNEGIE,2015,26
CARNEGIE,2016,42
CARNEGIE,2017,41
CARNEGIE,2018,51
CARNEGIE,2019,39
CARNEGIE,2020,47
CARNEGIE,2021,64
CARNEGIE,2022,81
CARNEGIE,2023,61
CARNEGIE,2024,65
CARNEGIE,2025,22
CASTLE SHANNON,2012,53
CASTLE SHANNON,2013,58
CASTLE SHANNON,2014,20
CASTLE SHANNON,2015,32
CASTLE SHANNON,2016,41
CASTLE SHANNON,2017,47
CASTLE SHANNON,2018,35
CASTLE SHANNON,2019,23
CASTLE SHANNON,2020,71
CASTLE SHANNON,2021,59
CASTLE SHANNON,2022,94
CASTLE SHANNON,2023,70
CASTLE SHANNON,2024,55
CASTLE SHANNON,2025,30
CHALFANT,2012,7
CHALFANT,2013,2
CHALFANT,2014,3
CHALFANT,2015,2
CHALFANT,2016,2
CHALFANT,2017,5
CHALFANT,2018,7
CHALFANT,2019,1
CHALFANT,2020,6
CHALFANT,2021,8
CHALFANT,2022,7
CHALFANT,2023,10
CHALFANT,2024,3
CHALFANT,2025,2
CHESWICK,2012,14
CHESWICK,2013,13
CHESWICK,2014,9
CHESWICK,2015,3
CHESWICK,2016,9
CHESWICK,2017,6
CHESWICK,2018,5
CHESWICK,2019,10
CHESWICK,2020,15
CHESWICK,2021,18
CHESWICK,2022,29
CHESWICK,2023,22
CHESWICK,2024,14
CHESWICK,2025,3
CHURCHILL,2012,38
CHURCHILL,2013,36
CHURCHILL,2014,12
CHURCHILL,2015,13
CHURCHILL,2016,28
CHURCHILL,2017,33
CHURCHILL,2018,28
CHURCHILL,2019,17
CHURCHILL,2020,46
CHURCHILL,2021,35
CHURCHILL,2022,50
CHURCHILL,2023,51
CHURCHILL,2024,31
CHURCHILL,2025,23
COLLIER,2012,100
COLLIER,2013,66
COLLIER,2014,29
COLLIER,2015,37
COLLIER,2016,41
COLLIER,2017,45
COLLIER,2018,60
COLLIER,2019,49
COLLIER,2020,69
COLLIER,2021,89
COLLIER,2022,77
COLLIER,2023,70
COLLIER,2024,64
COLLIER,2025,23
CORAOPOLIS,2012,52
CORAOPOLIS,2013,30
CORAOPOLIS,2014,18
CORAOPOLIS,2015,16
CORAOPOLIS,2016,25
CORAOPOLIS,2017,22
CORAOPOLIS,2018,32
CORAOPOLIS,2019,15
CORAOPOLIS,2020,30
CORAOPOLIS,2021,37
CORAOPOLIS,2022,59
CORAOPOLIS,2023,36
CORAOPOLIS,2024,46
CORAOPOLIS,2025,16
CRAFTON,2012,54
CRAFTON,2013,35
CRAFTON,2014,14
CRAFTON,2015,7
CRAFTON,2016,23
CRAFTON,2017,24
CRAFTON,2018,28
CRAFTON,2019,13
CRAFTON,2020,43
CRAFTON,2021,40
CRAFTON,2022,41
CRAFTON,2023,47
CRAFTON,2024,37
CRAFTON,2025,14
CRESCENT,2012,17
CRESCENT,2013,23
CRESCENT,2014,11
CRESCENT,2015,12
CRESCENT,2016,15
CRESCENT,2017,14
CRESCENT,2018,18
CRESCENT,2019,6
CRESCENT,2020,14
CRESCENT,2021,25
CRESCENT,2022,24
CRESCENT,2023,23
CRESCENT,2024,26
CRESCENT,2025,8
DORMONT,2012,56
DORMONT,2013,64
DORMONT,2014,20
DORMONT,2015,37
DORMONT,2016,47
DORMONT,2017,57
DORMONT,2018,37
DORMONT,2019,29
DORMONT,2020,78
DORMONT,2021,54
DORMONT,2022,91
DORMONT,2023,89
DORMONT,2024,64
DORMONT,2025,30
DRAVOSBURG,2012,16
DRAVOSBURG,2013,10
DRAVOSBURG,2014,1
DRAVOSBURG,2015,1
DRAVOSBURG,2016,4
DRAVOSBURG,2017,4
DRAVOSBURG,2018,4
DRAVOSBURG,2019,5
DRAVOSBURG,2020,10
DRAVOSBURG,2021,17
DRAVOSBURG,2022,10
DRAVOSBURG,2023,14
DRAVOSBURG,2024,6
DRAVOSBURG,2025,2
EAST DEER,2012,13
EAST DEER,2013,4
EAST DEER,2014,1
EAST DEER,2015,6
EAST DEER,2016,6
EAST DEER,2017,8
EAST DEER,2018,10
EAST DEER,2019,5
EAST DEER,2020,9
EAST DEER,2021,13
EAST DEER,2022,9
EAST DEER,2023,10
EAST DEER,2024,17
EAST DEER,2025,6
EAST MCKEESPORT,2012,13
EAST MCKEESPORT,2013,8
EAST MCKEESPORT,2014,3
EAST MCKEESPORT,2015,2
EAST MCKEESPORT,2016,9
EAST MCKEESPORT,2017,8
EAST MCKEESPORT,2018,10
EAST MCKEESPORT,2019,5
EAST MCKEESPORT,2020,17
EAST MCKEESPORT,2021,16
EAST MCKEESPORT,2022,13
EAST MCKEESPORT,2023,13
EAST MCKEESPORT,2024,13
EAST MCKEESPORT,2025,2
EAST PITTSBURGH,2012,13
EAST PITTSBURGH,2013,7
EAST PITTSBURGH,2015,3
EAST PITTSBURGH,2016,6
EAST PITTSBURGH,2017,5
EAST PITTSBURGH,2018,4
EAST PITTSBURGH,2019,3
EAST PITTSBURGH,2020,12
EAST PITTSBURGH,2021,5
EAST PITTSBURGH,2022,8
EAST PITTSBURGH,2023,12
EAST PITTSBURGH,2024,5
EAST PITTSBURGH,2025,4
EDGEWOOD,2012,42
EDGEWOOD,2013,35
EDGEWOOD,2014,14
EDGEWOOD,2015,14
EDGEWOOD,2016,24
EDGEWOOD,2017,24
EDGEWOOD,2018,20
EDGEWOOD,2019,17
EDGEWOOD,2020,38
EDGEWOOD,2021,20
EDGEWOOD,2022,30
EDGEWOOD,2023,54
EDGEWOOD,2024,44
EDGEWOOD,2025,13
EDGEWORTH,2012,23
EDGEWORTH,2013,19
EDGEWORTH,2014,12
EDGEWORTH,2015,5
EDGEWORTH,2016,14
EDGEWORTH,2017,19
EDGEWORTH,2018,21
EDGEWORTH,2019,5
EDGEWORTH,2020,21
EDGEWORTH,2021,14
EDGEWORTH,2022,21
EDGEWORTH,2023,18
EDGEWORTH,2024,18
EDGEWORTH,2025,7
ELIZABETH BORO,2012,7
ELIZABETH BORO,2013,1
ELIZABETH BORO,2014,3
ELIZABETH BORO,2015,3
ELIZABETH BORO,2016,4
ELIZABETH BORO,2017,2
ELIZABETH BORO,2018,6
ELIZABETH BORO,2019,1
ELIZABETH BORO,2020,6
ELIZABETH BORO,2021,10
ELIZABETH BORO,2022,7
ELIZABETH BORO,2023,9
ELIZABETH BORO,2024,3
ELIZABETH BORO,2025,5
ELIZABETH TWP,2012,102
ELIZABETH TWP,2013,79
ELIZABETH TWP,2014,34
ELIZABETH TWP,2015,34
ELIZABETH TWP,2016,57
ELIZABETH TWP,2017,52
ELIZABETH TWP,2018,80
ELIZABETH TWP,2019,39
ELIZABETH TWP,2020,65
ELIZABETH TWP,2021,65
ELIZABETH TWP,2022,101
ELIZABETH TWP,2023,76
ELIZABETH TWP,2024,84
ELIZABETH TWP,2025,41
EMSWORTH,2012,14
EMSWORTH,2013,21
EMSWORTH,2014,12
EMSWORTH,2015,7
EMSWORTH,2016,18
EMSWORTH,2017,14
EMSWORTH,2018,18
EMSWORTH,2019,5
EMSWORTH,2020,11
EMSWORTH,2021,19
EMSWORTH,2022,20
EMSWORTH,2023,21
EMSWORTH,2024,22
EMSWORTH,2025,4
ETNA,2012,32
ETNA,2013,11
ETNA,2014,3
ETNA,2015,7
ETNA,2016,17
ETNA,2017,18
ETNA,2018,15
ETNA,2019,3
ETNA,2020,8
ETNA,2021,18
ETNA,2022,19
ETNA,2023,17
ETNA,2024,24
ETNA,2025,16
FAWN,2012,4
FAWN,2013,12
FAWN,2014,5
FAWN,2015,3
FAWN,2016,3
FAWN,2017,6
FAWN,2018,6
FAWN,2019,2
FAWN,2020,11
FAWN,2021,8
FAWN,2022,15
FAWN,2023,12
FAWN,2024,6
FAWN,2025,4
FINDLAY,2012,55
FINDLAY,2013,42
FINDLAY,2014,18
FINDLAY,2015,27
FINDLAY,2016,29
FINDLAY,2017,27
FINDLAY,2018,40
FINDLAY,2019,37
FINDLAY,2020,63
FINDLAY,2021,61
FINDLAY,2022,53
FINDLAY,2023,55
FINDLAY,2024,60
FINDLAY,2025,18
FOREST HILLS,2012,79
FOREST HILLS,2013,48
FOREST HILLS,2014,21
FOREST HILLS,2015,22
FOREST HILLS,2016,45
FOREST HILLS,2017,51
FOREST HILLS,2018,48
FOREST HILLS,2019,40
FOREST HILLS,2020,78
FOREST HILLS,2021,69
FOREST HILLS,2022,97
FOREST HILLS,2023,73
FOREST HILLS,2024,87
FOREST HILLS,2025,24
FORWARD,2012,8
FORWARD,2013,12
FORWARD,2014,4
FORWARD,2015,4
FORWARD,2016,7
FORWARD,2017,5
FORWARD,2018,14
FORWARD,2019,9
FORWARD,2020,9
FORWARD,2021,10
FORWARD,2022,16
FORWARD,2023,6
FORWARD,2024,22
FOX CHAPEL,2012,58
FOX CHAPEL,2013,53
FOX CHAPEL,2014,17
FOX CHAPEL,2015,20
FOX CHAPEL,2016,30
FOX CHAPEL,2017,32
FOX CHAPEL,2018,40
FOX CHAPEL,2019,22
FOX CHAPEL,2020,55
FOX CHAPEL,2021,54
FOX CHAPEL,2022,45
FOX CHAPEL,2023,38
FOX CHAPEL,2024,49
FOX CHAPEL,2025,11
FRANKLIN PARK,2012,191
FRANKLIN PARK,2013,111
FRANKLIN PARK,2014,66
FRANKLIN PARK,2015,59
FRANKLIN PARK,2016,89
FRANKLIN PARK,2017,112
FRANKLIN PARK,2018,125
FRANKLIN PARK,2019,72
FRANKLIN PARK,2020,141
FRANKLIN PARK,2021,123
FRANKLIN PARK,2022,136
FRANKLIN PARK,2023,138
FRANKLIN PARK,2024,113
FRANKLIN PARK,2025,57
FRAZER,2012,3
FRAZER,2013,7
FRAZER,2014,1
FRAZER,2015,1
FRAZER,2016,2
FRAZER,2017,5
FRAZER,2018,3
FRAZER,2019,2
FRAZER,2020,3
FRAZER,2021,4
FRAZER,2022,2
FRAZER,2023,4
FRAZER,2024,3
FRAZER,2025,1
GLASSPORT,2012,39
GLASSPORT,2013,17
GLASSPORT,2014,12
GLASSPORT,2015,7
GLASSPORT,2016,10
GLASSPORT,2017,15
GLASSPORT,2018,14
GLASSPORT,2019,18
GLASSPORT,2020,17
GLASSPORT,2021,38
GLASSPORT,2022,34
GLASSPORT,2023,29
GLASSPORT,2024,39
GLASSPORT,2025,11
GLEN OSBORNE,2012,9
GLEN OSBORNE,2013,7
GLEN OSBORNE,2014,5
GLEN OSBORNE,2015,3
GLEN OSBORNE,2016,8
GLEN OSBORNE,2017,10
GLEN OSBORNE,2018,5
GLEN OSBORNE,2019,4
GLEN OSBORNE,2020,2
GLEN OSBORNE,2021,2
GLEN OSBORNE,2022,3
GLEN OSBORNE,2023,6
GLEN OSBORNE,2024,6
GLENFIELD,2012,2
GLENFIELD,2020,1
GLENFIELD,2022,1
GLENFIELD,2025,1
GREENTREE,2012,42
GREENTREE,2013,38
GREENTREE,2014,13
GREENTREE,2015,23
GREENTREE,2016,18
GREENTREE,2017,33
GREENTREE,2018,25
GREENTREE,2019,24
GREENTREE,2020,40
GREENTREE,2021,44
GREENTREE,2022,62
GREENTREE,2023,41
GREENTREE,2024,49
GREENTREE,2025,14
HAMPTON,2012,174
HAMPTON,2013,118
HAMPTON,2014,47
HAMPTON,2015,72
HAMPTON,2016,102
HAMPTON,2017,126
HAMPTON,2018,117
HAMPTON,2019,53
HAMPTON,2020,143
HAMPTON,2021,162
HAMPTON,2022,166
HAMPTON,2023,153
HAMPTON,2024,155
HAMPTON,2025,57
HARMAR,2012,28
HARMAR,2013,24
HARMAR,2014,10
HARMAR,2015,8
HARMAR,2016,17
HARMAR,2017,13
HARMAR,2018,12
HARMAR,2019,12
HARMAR,2020,30
HARMAR,2021,20
HARMAR,2022,22
HARMAR,2023,24
HARMAR,2024,19
HARMAR,2025,7
HARRISON,2012,69
HARRISON,2013,68
HARRISON,2014,21
HARRISON,2015,30
HARRISON,2016,41
HARRISON,2017,58
HARRISON,2018,64
HARRISON,2019,34
HARRISON,2020,70
HARRISON,2021,93
HARRISON,2022,86
HARRISON,2023,82
HARRISON,2024,70
HARRISON,2025,28
HAYSVILLE,2016,1
HAYSVILLE,2021,1
HAYSVILLE,2022,1
HAYSVILLE,2024,1
HEIDELBERG,2012,14
HEIDELBERG,2013,8
HEIDELBERG,2014,6
HEIDELBERG,2015,6
HEIDELBERG,2016,10
HEIDELBERG,2017,5
HEIDELBERG,2018,6
HEIDELBERG,2019,4
HEIDELBERG,2020,12
HEIDELBERG,2021,14
HEIDELBERG,2022,15
HEIDELBERG,2023,15
HEIDELBERG,2024,9
HEIDELBERG,2025,4
HOMESTEAD,2012,17
HOMESTEAD,2013,10
HOMESTEAD,2015,2
HOMESTEAD,2016,6
HOMESTEAD,2017,3
HOMESTEAD,2018,9
HOMESTEAD,2019,8
HOMESTEAD,2020,6
HOMESTEAD,2021,5
HOMESTEAD,2022,15
HOMESTEAD,2023,11
HOMESTEAD,2024,5
HOMESTEAD,2025,5
INDIANA,2012,63
INDIANA,2013,29
INDIANA,2014,13
INDIANA,2015,21
INDIANA,2016,30
INDIANA,2017,36
INDIANA,2018,36
INDIANA,2019,19
INDIANA,2020,54
INDIANA,2021,49
INDIANA,2022,41
INDIANA,2023,44
INDIANA,2024,46
INDIANA,2025,20
INGRAM,2012,16
INGRAM,2013,18
INGRAM,2014,14
INGRAM,2015,7
INGRAM,2016,15
INGRAM,2017,16
INGRAM,2018,12
INGRAM,2019,14
INGRAM,2020,12
INGRAM,2021,12
INGRAM,2022,24
INGRAM,2023,24
INGRAM,2024,22
INGRAM,2025,11
JEFFERSON HILLS,2012,101
JEFFERSON HILLS,2013,74
JEFFERSON HILLS,2014,32
JEFFERSON HILLS,2015,39
JEFFERSON HILLS,2016,46
JEFFERSON HILLS,2017,41
JEFFERSON HILLS,2018,47
JEFFERSON HILLS,2019,40
JEFFERSON HILLS,2020,59
JEFFERSON HILLS,2021,95
JEFFERSON HILLS,2022,74
JEFFERSON HILLS,2023,66
JEFFERSON HILLS,2024,78
JEFFERSON HILLS,2025,31
KENNEDY,2012,87
KENNEDY,2013,68
KENNEDY,2014,29
KENNEDY,2015,34
KENNEDY,2016,63
KENNEDY,2017,48
KENNEDY,2018,51
KENNEDY,2019,40
KENNEDY,2020,72
KENNEDY,2021,61
KENNEDY,2022,73
KENNEDY,2023,84
KENNEDY,2024,83
